p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RPS6	5.43391029115217e-142	0.687485180938281	0.999	0.994	7.45206457328609e-138	0	RPS6
RPL32	5.6452117708554e-138	0.633184272984275	0.999	0.995	7.74184342255109e-134	0	RPL32
RPS12	5.61596817665437e-137	0.724630723880376	1	0.99	7.70173875746381e-133	0	RPS12
RPS27	1.90318368700192e-131	0.703917183271964	0.999	0.992	2.61002610835443e-127	0	RPS27
RPS25	2.35589221680243e-127	0.784631852730445	0.997	0.973	3.23087058612285e-123	0	RPS25
RPL31	3.96134257805698e-121	0.772568841217376	0.996	0.963	5.43258521154734e-117	0	RPL31
RPS14	2.91086217777562e-120	0.613278615413329	0.999	0.995	3.99195639060148e-116	0	RPS14
RPL9	1.73754630422221e-113	0.742747258153094	0.996	0.969	2.38287100161034e-109	0	RPL9
RPS3	4.37986002005615e-110	0.596346700571004	0.999	0.993	6.006540031505e-106	0	RPS3
RPL13	4.17503917329991e-109	0.551825724579975	1	0.997	5.7256487222635e-105	0	RPL13
RPL30	6.80275813022728e-108	0.68144912443436	0.997	0.979	9.3293024997937e-104	0	RPL30
RPS15A	7.49056226477541e-106	0.641670453713981	0.997	0.982	1.0272557089913e-101	0	RPS15A
RPS3A	1.08158310542846e-104	0.779467728119722	0.996	0.974	1.48328307078459e-100	0	RPS3A
LDHB	3.0356553012168e-104	1.1098071731826	0.895	0.592	4.16309768008873e-100	0	LDHB
RPLP2	6.67972930753163e-102	0.601442807132362	1	0.989	9.16058077234888e-98	0	RPLP2
RPL21	1.79639857651683e-101	0.642658266685519	0.99	0.991	2.46358100783517e-97	0	RPL21
RPL3	2.77485265700855e-101	0.567881200708812	0.996	0.995	3.80543293382153e-97	0	RPL3
RPS27A	8.09338253293562e-101	0.749394694220884	0.996	0.964	1.10992648056679e-96	0	RPS27A
MALAT1	1.08958794788995e-93	0.681786344017028	1	1	1.49426091173627e-89	0	MALAT1
RPL27A	1.86525177514889e-92	0.554844657235249	0.999	0.987	2.55800628443918e-88	0	RPL27A
RPL35A	1.3247235940025e-90	0.589135070806605	0.999	0.977	1.81672593681503e-86	0	RPL35A
RPS13	5.99146435413716e-90	0.687736445327482	0.986	0.956	8.2166942152637e-86	0	RPS13
RPL13A	2.75219017642537e-89	0.475408103515888	1	0.999	3.77435360794975e-85	0	RPL13A
RPS18	5.65891226953233e-89	0.508556266483204	1	0.995	7.76063228643664e-85	0	RPS18
RPL11	5.73689424470757e-88	0.475913157416656	1	0.995	7.86757676719196e-84	0	RPL11
EEF1A1	3.48864897705914e-87	0.507229627493022	0.99	0.989	4.78433320713891e-83	0	EEF1A1
RPS28	8.95658871261865e-87	0.641606253522745	0.987	0.967	1.22830657604852e-82	0	RPS28
TPT1	4.7711645389879e-84	0.594939967671754	0.996	0.98	6.54317504876801e-80	0	TPT1
CCR7	1.10182834912345e-81	2.34742518169015	0.432	0.111	1.51104739798791e-77	0	CCR7
RPS20	3.81403349504173e-81	0.696517518664402	0.987	0.941	5.23056553510023e-77	0	RPS20
RPS29	1.5374869131331e-80	0.74256494293128	0.989	0.9	2.10850955267074e-76	0	RPS29
RPS23	9.10691260720248e-80	0.566564114313334	0.997	0.976	1.24892199495175e-75	0	RPS23
CD3D	4.19643335077244e-79	1.09744852986479	0.848	0.407	5.75498869724932e-75	0	CD3D
RPL23A	1.60702229871979e-77	0.528650467063828	0.999	0.987	2.20387038046433e-73	0	RPL23A
RPS4X	1.14187429179561e-73	0.512917758871893	0.996	0.991	1.5659664037685e-69	0	RPS4X
RPS16	1.99428249830793e-73	0.537578299556233	0.996	0.981	2.7349590181795e-69	0	RPS16
RPL5	7.16769837428878e-71	0.59355472741047	0.984	0.963	9.82978155049964e-67	0	RPL5
RPL10	4.60868413245227e-69	0.360293333320234	1	0.998	6.32034941924504e-65	0	RPL10
RPL10A	1.89299105945106e-66	0.53269547575638	0.989	0.982	2.59604793893118e-62	0	RPL10A
RPL19	1.07175160497645e-64	0.392213102059914	0.999	0.993	1.4698001510647e-60	0	RPL19
RPL14	2.34289464257621e-63	0.451592691430587	0.996	0.983	3.21304571282902e-59	0	RPL14
RPSA	6.79475908768162e-62	0.554236091209295	0.983	0.943	9.31833261284657e-58	0	RPSA
RPS5	3.08258003804817e-58	0.510855023836723	0.986	0.972	4.22745026417926e-54	0	RPS5
RPS15	5.75863018264509e-57	0.41341886428983	1	0.989	7.89738543247947e-53	0	RPS15
RPS10	7.89734296222187e-56	0.511242796976282	0.983	0.964	1.08304161383911e-51	0	RPS10
RPL18	6.52753893453957e-55	0.477213556178922	0.996	0.978	8.95186689482756e-51	0	RPL18
RPL36	3.81269059443625e-52	0.531006460208952	0.989	0.946	5.22872388120987e-48	0	RPL36
NPM1	2.06794741506318e-51	0.764124892040777	0.905	0.791	2.83598308501764e-47	0	NPM1
RPL4	6.46436803992186e-51	0.527252392004333	0.986	0.952	8.86523432994884e-47	0	RPL4
RPLP0	8.06683131189415e-50	0.512287293510976	0.981	0.936	1.10628524611316e-45	0	RPLP0
RPL7	2.18063170651744e-49	0.56272695585966	0.976	0.966	2.99051832231802e-45	0	RPL7
CD3E	5.53445886192719e-49	0.97739600941519	0.71	0.402	7.58995688324695e-45	0	CD3E
PRKCQ-AS1	2.52523264036909e-48	2.11738387163157	0.336	0.108	3.46310404300217e-44	0	PRKCQ-AS1
NOSIP	1.39556212827092e-47	1.21138449150159	0.625	0.358	1.91387390271074e-43	0	NOSIP
RPL36A	3.98823156885209e-47	0.594116318276595	0.961	0.885	5.46946077352375e-43	0	RPL36A
RPL18A	4.37589604170195e-45	0.32506049722668	0.997	0.992	6.00110383159005e-41	0	RPL18A
RPS8	1.36092388398978e-44	0.417022740318465	0.996	0.984	1.86637101450358e-40	0	RPS8
BTG1	1.54582898087547e-44	0.636210097998033	0.94	0.854	2.11994986437262e-40	0	BTG1
RPL22	2.81291131915418e-44	0.683484759885365	0.897	0.776	3.85762658308804e-40	0	RPL22
RPS19	1.10269869287417e-43	0.359960988387176	0.997	0.992	1.51224098740764e-39	0	RPS19
RPS2	2.47241738252866e-41	0.311057140326693	1	0.996	3.3906731983998e-37	0	RPS2
LEF1	3.98952171097368e-41	1.93015932207377	0.316	0.109	5.4712300744293e-37	0	LEF1
JUNB	4.30143832951011e-41	0.724158851535409	0.905	0.9	5.89899252509016e-37	0	JUNB
IL7R	6.43916938796897e-41	0.968528549652604	0.611	0.329	8.83067689866065e-37	0	IL7R
TMEM66	6.79222479405429e-41	0.804519969813651	0.836	0.694	9.31485708256606e-37	0	TMEM66
RPL17	1.20741995049131e-40	0.449507462886957	0.973	0.953	1.65585572010378e-36	0	RPL17
